coincidence_sum,duration,similarity,stations,time,trace_ids
3.0,3.6500000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:09:32.487700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.450000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:10:09.737700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.4750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:11:02.287700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.4000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:11:40.312700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.4750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:12:02.087700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,6.5249998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:12:48.287700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.075000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:13:50.562700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,3.3500001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:14:44.912700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.1500000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:14:57.587700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.3249998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:15:50.987700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,3.200000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:16:09.662700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.9000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:17:33.637700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.2250001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:17:36.912700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.75,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:17:50.687700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.0250000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:18:03.237700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.375000238418579,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T02:18:52.312700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
