start_time,stop_time,cluster
2007-01-06 07:02:01.537700,2007-01-06 07:02:03.737700,10
2007-01-06 07:07:44.937700,2007-01-06 07:07:46.887700,10
2007-01-06 07:18:24.762700,2007-01-06 07:18:27.412700,10
2007-01-06 07:20:04.562700,2007-01-06 07:20:06.862700,10
2007-01-06 07:34:49.287700,2007-01-06 07:34:51.087700,10
2007-01-06 08:03:31.412700,2007-01-06 08:03:33.762700,10
2007-01-06 08:10:29.812700,2007-01-06 08:10:31.487700,10
2007-01-06 08:18:48.312700,2007-01-06 08:18:50.462700,10
2007-01-06 08:23:41.237700,2007-01-06 08:23:44.412700,10
2007-01-06 08:26:26.437700,2007-01-06 08:26:29.287700,10
2007-01-06 08:55:07.887700,2007-01-06 08:55:11.062700,10
2007-01-06 09:02:28.062700,2007-01-06 09:02:31.487700,10
2007-01-06 09:17:59.562700,2007-01-06 09:18:01.812700,10
2007-01-06 09:21:00.537700,2007-01-06 09:21:02.687700,10
2007-01-06 09:25:35.262700,2007-01-06 09:25:37.887700,10
2007-01-06 09:36:59.462700,2007-01-06 09:37:01.562700,10
2007-01-06 09:43:21.137700,2007-01-06 09:43:23.212700,10
2007-01-06 09:53:01.837700,2007-01-06 09:53:03.637700,10
2007-01-06 09:55:46.612700,2007-01-06 09:55:49.337700,10
2007-01-06 10:04:01.962700,2007-01-06 10:04:04.462700,10
2007-01-06 10:05:50.162700,2007-01-06 10:05:53.312700,10
2007-01-06 10:14:37.912700,2007-01-06 10:14:40.312700,10
2007-01-06 10:34:55.387700,2007-01-06 10:34:57.012700,10
2007-01-06 10:40:32.687700,2007-01-06 10:40:35.037700,10
2007-01-06 10:47:57.462700,2007-01-06 10:48:00.862700,10
2007-01-06 10:53:14.837700,2007-01-06 10:53:16.737700,10
2007-01-06 11:16:33.287700,2007-01-06 11:16:36.012700,10
2007-01-06 11:18:32.437700,2007-01-06 11:18:35.087700,10
2007-01-06 11:19:48.562700,2007-01-06 11:19:51.662700,10
2007-01-06 11:32:52.037700,2007-01-06 11:32:55.012700,10
2007-01-06 11:36:36.937700,2007-01-06 11:36:39.862700,10
2007-01-06 11:49:42.312700,2007-01-06 11:49:45.937700,10
2007-01-06 11:50:07.762700,2007-01-06 11:50:10.687700,10
2007-01-06 12:00:52.737700,2007-01-06 12:00:54.887700,10
2007-01-06 12:01:36.487700,2007-01-06 12:01:38.712700,10
2007-01-06 12:03:43.962700,2007-01-06 12:03:45.962700,10
2007-01-06 12:19:10.637700,2007-01-06 12:19:12.637700,10
2007-01-06 12:20:12.137700,2007-01-06 12:20:14.087700,10
2007-01-06 12:25:33.837700,2007-01-06 12:25:35.862700,10
2007-01-06 12:32:53.837700,2007-01-06 12:32:56.162700,10
2007-01-06 12:51:49.087700,2007-01-06 12:51:52.037700,10
2007-01-06 13:14:53.762700,2007-01-06 13:14:55.562700,10
2007-01-06 13:22:07.462700,2007-01-06 13:22:10.087700,10
2007-01-06 13:38:19.312700,2007-01-06 13:38:22.462700,10
